time,steam_players,multiplayer_players,looking_players,in_game_players,multiplayer_1h,multiplayer_24h
2020-05-31T22:45:00,13687.0,6806.0,1633.0,5173.0,11146.0,80813.0
2020-05-31T22:50:00,13489.0,6679.0,1594.0,5085.0,11080.0,80738.0
2020-05-31T22:55:00,13313.0,6509.0,1556.0,4953.0,10912.0,80657.0
2020-05-31T23:00:00,13112.0,6450.0,1528.0,4922.0,10761.0,80592.0
2020-05-31T23:05:00,12958.0,6356.0,1566.0,4790.0,10587.0,80485.0
2020-05-31T23:10:00,12822.0,6208.0,1456.0,4752.0,10420.0,80413.0
2020-05-31T23:15:00,12625.0,6086.0,1434.0,4652.0,10284.0,80354.0
2020-05-31T23:20:00,12414.0,6074.0,1489.0,4585.0,10137.0,80246.0
2020-05-31T23:25:00,12211.0,5939.0,1419.0,4520.0,9952.0,80180.0
2020-05-31T23:30:00,12062.0,5823.0,1358.0,4465.0,9825.0,80063.0
2020-05-31T23:35:00,11915.0,5719.0,1446.0,4273.0,9688.0,79894.0
2020-05-31T23:40:00,11786.0,5638.0,1384.0,4254.0,9543.0,79811.0
2020-05-31T23:45:00,11679.0,5577.0,1344.0,4233.0,9335.0,79725.0
2020-05-31T23:50:00,11496.0,5469.0,1332.0,4137.0,9160.0,79600.0
2020-05-31T23:55:00,11261.0,5367.0,1353.0,4014.0,8981.0,79521.0
2020-06-01T00:00:00,11100.0,5294.0,1344.0,3950.0,8852.0,79378.0
2020-06-01T00:05:00,10907.0,5120.0,1209.0,3911.0,8628.0,79252.0
2020-06-01T00:10:00,10769.0,5076.0,1246.0,3830.0,8465.0,79123.0
2020-06-01T00:15:00,10643.0,5000.0,1301.0,3699.0,8298.0,79010.0
2020-06-01T00:20:00,10433.0,4872.0,1276.0,3596.0,8164.0,78891.0
2020-06-01T00:25:00,10263.0,4703.0,1203.0,3500.0,7941.0,78788.0
2020-06-01T00:30:00,10121.0,4625.0,1221.0,3404.0,7785.0,78715.0
2020-06-01T00:35:00,10008.0,4548.0,1204.0,3344.0,7605.0,78619.0
2020-06-01T00:40:00,9917.0,4448.0,1160.0,3288.0,7469.0,78522.0
2020-06-01T00:45:00,9792.0,4414.0,1139.0,3275.0,7382.0,78424.0
2020-06-01T00:50:00,9761.0,4372.0,1107.0,3265.0,7199.0,78316.0
2020-06-01T00:55:00,9661.0,4283.0,1120.0,3163.0,7021.0,78203.0
2020-06-01T01:00:00,9504.0,4236.0,1106.0,3130.0,6914.0,78116.0
2020-06-01T01:05:00,9403.0,4171.0,1077.0,3094.0,6795.0,78024.0
2020-06-01T01:10:00,9314.0,4196.0,1028.0,3168.0,6716.0,77925.0
2020-06-01T01:15:00,9241.0,4134.0,984.0,3150.0,6598.0,77852.0
2020-06-01T01:20:00,9186.0,4109.0,976.0,3133.0,6455.0,77730.0
2020-06-01T01:25:00,9143.0,4086.0,970.0,3116.0,6358.0,77617.0
2020-06-01T01:30:00,9076.0,4042.0,1034.0,3008.0,6290.0,77549.0
2020-06-01T01:35:00,8997.0,3943.0,979.0,2964.0,6217.0,77470.0
2020-06-01T01:40:00,8931.0,3914.0,1020.0,2894.0,6118.0,77349.0
2020-06-01T01:45:00,8882.0,3812.0,1022.0,2790.0,6034.0,77270.0
2020-06-01T01:50:00,8820.0,3793.0,975.0,2818.0,6004.0,77188.0
2020-06-01T01:55:00,8742.0,3735.0,1004.0,2731.0,5932.0,77130.0
2020-06-01T02:00:00,8711.0,3723.0,973.0,2750.0,5846.0,77006.0
2020-06-01T02:05:00,8732.0,3746.0,983.0,2763.0,5785.0,76946.0
2020-06-01T02:10:00,8748.0,3744.0,1000.0,2744.0,5751.0,76850.0
2020-06-01T02:15:00,8797.0,3694.0,972.0,2722.0,5691.0,76765.0
2020-06-01T02:20:00,8753.0,3717.0,1005.0,2712.0,5668.0,76692.0
2020-06-01T02:25:00,8813.0,3713.0,1029.0,2684.0,5653.0,76598.0
2020-06-01T02:30:00,8836.0,3726.0,1037.0,2689.0,5594.0,76547.0
2020-06-01T02:35:00,8891.0,3672.0,1059.0,2613.0,5546.0,76498.0
2020-06-01T02:40:00,8944.0,3687.0,1072.0,2615.0,5532.0,76458.0
2020-06-01T02:45:00,8989.0,3704.0,1052.0,2652.0,5486.0,76409.0
2020-06-01T02:50:00,9062.0,3721.0,1021.0,2700.0,5464.0,76348.0
2020-06-01T02:55:00,9078.0,3762.0,1003.0,2759.0,5448.0,76281.0
2020-06-01T03:00:00,9132.0,3767.0,1028.0,2739.0,5458.0,76257.0
2020-06-01T03:05:00,9258.0,3840.0,1030.0,2810.0,5529.0,76241.0
2020-06-01T03:10:00,9345.0,3818.0,1088.0,2730.0,5578.0,76201.0
2020-06-01T03:15:00,9444.0,3870.0,1124.0,2746.0,5595.0,76181.0
2020-06-01T03:20:00,9517.0,3911.0,1153.0,2758.0,5639.0,76135.0
2020-06-01T03:25:00,9637.0,3871.0,1102.0,2769.0,5639.0,76118.0
2020-06-01T03:30:00,9654.0,3920.0,1123.0,2797.0,5645.0,76106.0
2020-06-01T03:35:00,9721.0,3981.0,1131.0,2850.0,5678.0,76086.0
2020-06-01T03:40:00,9860.0,3988.0,1167.0,2821.0,5695.0,76069.0
2020-06-01T03:45:00,10012.0,4021.0,1176.0,2845.0,5760.0,76023.0
2020-06-01T03:50:00,10161.0,4055.0,1140.0,2915.0,5808.0,75966.0
2020-06-01T03:55:00,10274.0,4090.0,1151.0,2939.0,5863.0,75896.0
2020-06-01T04:00:00,10355.0,4127.0,1177.0,2950.0,5916.0,75895.0
2020-06-01T04:05:00,10488.0,4221.0,1224.0,2997.0,6021.0,75912.0
